timeindex,AT_electricity,BE_electricity,CH_electricity,CZ_electricity,DE_electricity,FR_electricity,NO_electricity,PL_electricity,SE_electricity,DK_electricity,AT-biomass-bus,BE-biomass-bus,CH-biomass-bus,CZ-biomass-bus,DE-biomass-bus,DK-biomass-bus,FR-biomass-bus,NO-biomass-bus,PL-biomass-bus,SE-biomass-bus
2030-01-01 00:00:00,50.4483889383,75.2,50.4483889383,50.4483889383,47.9259694914,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889383,0,33.84,22.7017750222,0,0,22.7017750222,0,0,37.4958448753,22.7017750246
2030-01-01 01:00:00,50.4483889383,50.4483889383,50.4483889383,47.9259694914,47.9259694914,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,22.7017750222,22.7017750222,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-01-01 02:00:00,47.9259694964,47.9259694964,47.9259694964,45.5296710216,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,21.5666862734,21.5666862734,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 03:00:00,47.9259694964,43.2531874705,47.9259694964,45.5296710216,45.5296710216,4.85714285714,53.103567309,75.2,50.4483889436,47.9259694964,0,19.4639343617,21.5666862734,0,0,21.5666862734,0,0,33.84,22.7017750246
2030-01-01 04:00:00,47.9259694964,43.2531874705,47.9259694964,45.5296710216,45.5296710216,4.85714285714,53.103567309,75.2,50.4483889436,47.9259694964,0,19.4639343617,21.5666862734,0,0,21.5666862734,0,0,33.84,22.7017750246
2030-01-01 05:00:00,45.4035499497,45.4035499497,45.4035499497,43.1333724522,43.1333724522,4.85714285714,53.103567309,75.2,50.4483889436,45.4035499497,0,20.4315974774,20.4315974774,0,0,20.4315974774,0,0,33.84,22.7017750246
2030-01-01 06:00:00,45.4035499497,42.2999999437,45.4035499497,43.1333724522,43.1333724522,4.85714285714,53.103567309,75.2,50.4483889436,45.4035499497,0,19.0349999747,20.4315974774,0,0,20.4315974774,0,0,33.84,22.7017750246
2030-01-01 07:00:00,45.4035499497,42.2999999437,45.4035499497,43.1333724522,43.1333724522,4.85714285714,53.103567309,75.2,50.4483889436,45.4035499497,0,19.0349999747,20.4315974774,0,0,20.4315974774,0,0,33.84,22.7017750246
2030-01-01 08:00:00,47.9259694964,47.9259694964,47.9259694964,45.5296710216,45.5296710216,4.85714285714,53.103567309,75.2,50.4483889436,47.9259694964,0,21.5666862734,21.5666862734,0,0,21.5666862734,0,0,33.84,22.7017750246
2030-01-01 09:00:00,47.9259694964,47.9259694964,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,75.2,50.4483889436,47.9259694964,0,21.5666862734,21.5666862734,0,0,21.5666862734,0,0,33.84,22.7017750246
2030-01-01 10:00:00,47.9259694964,75.2,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,75.2,50.4483889436,47.9259694964,0,33.84,21.5666862734,0,0,21.5666862734,0,0,33.84,22.7017750246
2030-01-01 11:00:00,47.9259694964,75.2,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,33.84,21.5666862734,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 12:00:00,47.9259694964,75.2,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,33.84,21.5666862734,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 13:00:00,47.9259694964,75.2,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,33.84,21.5666862734,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 14:00:00,50.4483889383,75.2,50.4483889383,50.4483889383,47.9259694914,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889383,0,33.84,22.7017750222,0,0,22.7017750222,0,0,37.4958448753,22.7017750246
2030-01-01 15:00:00,50.4483889383,75.2,50.4483889383,50.4483889383,47.9259694914,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889383,0,33.84,22.7017750222,0,0,22.7017750222,0,0,37.4958448753,22.7017750246
2030-01-01 16:00:00,50.4483889436,75.2,50.4483889436,50.4483889436,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-01-01 17:00:00,50.4483889436,50.4483889436,50.4483889436,50.4483889436,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,22.7017750246,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-01-01 18:00:00,50.4483889383,50.4483889383,50.4483889383,50.4483889383,47.9259694914,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889383,0,22.7017750222,22.7017750222,0,0,22.7017750222,0,0,37.4958448753,22.7017750246
2030-01-01 19:00:00,50.4483889383,45.5296710168,50.4483889383,50.4483889383,47.9259694914,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889383,0,20.4883519576,22.7017750222,0,0,22.7017750222,0,0,37.4958448753,22.7017750246
2030-01-01 20:00:00,47.9259694964,43.2531874705,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,19.4639343617,21.5666862734,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 21:00:00,47.9259694964,47.9259694964,47.9259694964,47.9259694964,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,21.5666862734,21.5666862734,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 22:00:00,45.4035499497,45.4035499497,45.4035499497,43.1333724522,43.1333724522,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,20.4315974774,20.4315974774,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-01-01 23:00:00,45.4035499497,45.4035499497,45.4035499497,43.1333724522,43.1333724522,4.85714285714,53.103567309,75.2,50.4483889436,47.9259694964,0,20.4315974774,20.4315974774,0,0,21.5666862734,0,0,33.84,22.7017750246
2030-01-02 00:00:00,28.3772187215,42.2999999437,28.3772187215,28.3772187215,26.9583577855,4.85714285714,53.103567309,53.103567309,50.4483889436,47.9259694964,0,19.0349999747,12.7697484247,0,0,21.5666862734,0,0,23.8966052891,22.7017750246
2030-01-02 01:00:00,28.3772187215,75.2,28.3772187215,28.3772187215,26.9583577855,4.85714285714,53.103567309,47.9259694964,50.4483889436,47.9259694964,0,33.84,12.7697484247,0,0,21.5666862734,0,0,21.5666862734,22.7017750246
2030-01-02 02:00:00,28.3772187215,75.2,28.3772187215,28.3772187215,26.9583577855,4.85714285714,53.103567309,46.8698060379,50.4483889436,47.9259694964,0,33.84,12.7697484247,0,0,21.5666862734,0,0,21.0914127171,22.7017750246
2030-01-02 03:00:00,45.4035499497,75.2,45.4035499497,43.1333724522,43.1333724522,4.85714285714,53.103567309,46.8698060379,50.4483889436,45.4035499497,0,33.84,20.4315974774,0,0,20.4315974774,0,0,21.0914127171,22.7017750246
2030-01-02 04:00:00,47.799740679,75.2,47.799740679,45.5296710216,45.409753645,4.85714285714,53.103567309,47.9259694964,50.4483889436,47.799740679,0,33.84,21.5098833055,0,0,21.5098833055,0,0,21.5666862734,22.7017750246
2030-01-02 05:00:00,53.103567309,75.2,53.103567309,53.103567309,50.4483889436,36.8444444444,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,23.8966052891,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-01-02 06:00:00,70.9070280318,75.2,70.9070280318,70.9070280318,67.3616766302,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 07:00:00,74.6389768756,75.2,70.9070280318,74.6389768756,70.9070280318,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 08:00:00,74.6389768756,75.2,70.9070280318,75.2,70.9070280318,67.3616766302,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 09:00:00,74.6389768756,75.2,70.9070280318,75.2,70.9070280318,67.3616766302,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 10:00:00,74.6389768756,75.2,70.9070280318,75.2,70.9070280318,67.3616766302,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 11:00:00,74.6389768756,75.2,70.9070280318,75.2,70.9070280318,67.3616766302,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 12:00:00,74.6389768756,75.2,70.9070280318,75.2,70.9070280318,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-01-02 13:00:00,74.6389768756,75.2,70.9070280318,75.2,70.9070280318,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,31.9081626143,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
